route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
14829,3,6073870,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073869,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073868,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073867,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073866,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073865,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073864,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073863,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073862,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073861,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073860,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073859,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073858,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073857,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073856,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073855,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073854,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073853,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073852,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073851,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073850,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073849,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073848,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073847,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073846,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073845,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073844,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073843,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073842,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073841,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073840,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073839,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073838,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073837,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073833,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073836,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073835,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073834,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073832,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073831,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073830,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073829,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073828,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073827,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073826,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073825,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073824,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073823,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073822,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073821,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073820,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073819,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073818,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024119,87086
14829,3,6073817,AUBURN AVE-PEACHTREE CTR-OLYMPIC PARK,0,1024118,87086
14829,3,6073894,EDGEWOOD AVE-KING CENTER,1,1024119,87087
14829,3,6073893,EDGEWOOD AVE-KING CENTER,1,1024118,87087
14829,3,6073892,EDGEWOOD AVE-KING CENTER,1,1024119,87087
14829,3,6073891,EDGEWOOD AVE-KING CENTER,1,1024118,87087
14829,3,6073890,EDGEWOOD AVE-KING CENTER,1,1024119,87087
14829,3,6073889,EDGEWOOD AVE-KING CENTER,1,1024118,87087
14829,3,6073888,EDGEWOOD AVE-KING CENTER,1,1024119,87087
14829,3,6073887,EDGEWOOD AVE-KING CENTER,1,1024118,87087
14829,3,6073886,EDGEWOOD AVE-KING CENTER,1,1024119,87087
14829,3,6073885,EDGEWOOD AVE-KING CENTER,1,1024118,87087
14829,3,6073884,EDGEWOOD AVE-KING CENTER,1,1024119,87087
14829,3,6073883,EDGEWOOD AVE-KING CENTER,1,1024118,87087
14829,3,6073882,EDGEWOOD AVE-KING CENTER,1,1024119,87087
14829,3,6073881,EDGEWOOD AVE-KING CENTER,1,1024118,87087
14829,3,6073880,EDGEWOOD AVE-KING CENTER,1,1024119,87087
