route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
7634,3,3800557,Route 1- Five Points Station,1,213034,82891
7634,3,3798088,Route 1- Coronet Way,0,212949,82742
7634,3,3789876,Route 1- Five Points Station,1,213034,82891
7634,3,3804465,Route 1- Five Points Station,1,212949,82891
7634,3,3802079,Route 1- Coronet Way,0,213034,82742
7634,3,3792741,Route 1- Five Points Station,1,213034,82891
7634,3,3791156,Route 1- Five Points Station,1,212949,82891
7634,3,3801084,Route 1- Coronet Way,0,213034,82742
7634,3,3794854,Route 1- Coronet Way,0,213034,82742
7634,3,3788351,Route 1- Coronet Way,0,213034,82742
7634,3,3798723,Route 1- Coronet Way,0,213034,82742
7634,3,3793627,Route 1- Five Points Station,1,212949,82891
7634,3,3788352,Route 1- Coronet Way,0,212949,82742
7634,3,3805181,Route 1- Coronet Way,0,212949,82742
7634,3,3798721,Route 1- Five Points Station,1,213034,82891
7634,3,3798812,Route 1- Five Points Station,1,212949,82891
7634,3,3796147,Route 1- Five Points Station,1,212949,82891
7634,3,3804468,Route 1- Coronet Way,0,212949,82742
7634,3,3789877,Route 1- Five Points Station,1,213034,82891
7634,3,3801553,Route 1- Coronet Way,0,212949,82742
7634,3,3788348,Route 1- Five Points Station,1,212949,82891
7634,3,3802257,Route 1- Five Points Station,1,213034,82891
7634,3,3791166,Route 1- Coronet Way,0,212949,82742
7634,3,3788617,Route 1- Coronet Way,0,212949,82742
7634,3,3798683,Route 1- Coronet Way,0,213034,82742
7634,3,3796149,Route 1- Coronet Way,0,213034,82742
7634,3,3796146,Route 1- Five Points Station,1,212949,82891
7634,3,3804445,Route 1- Coronet Way,0,213034,82742
7634,3,3792386,Route 1- Five Points Station,1,213034,82891
7634,3,3797620,Route 1- Five Points Station,1,213034,82891
7634,3,3797652,Route 1- Coronet Way,0,213034,82742
7634,3,3798722,Route 1- Coronet Way,0,212949,82742
7634,3,3797921,Route 1- Five Points Station,1,212949,82891
7634,3,3804444,Route 1- Five Points Station,1,212949,82891
7634,3,3804443,Route 1- Five Points Station,1,212949,82891
7634,3,3796536,Route 1- Coronet Way,0,213034,82742
7634,3,3791165,Route 1- Coronet Way,0,212949,82742
7634,3,3802719,Route 1- Coronet Way,0,212949,82742
7634,3,3802256,Route 1- Five Points Station,1,213034,82891
7634,3,3804653,Route 1- Coronet Way,0,212949,82742
7634,3,3796145,Route 1- Five Points Station,1,212949,82891
7634,3,3801552,Route 1- Five Points Station,1,213034,82891
7634,3,3798811,Route 1- Five Points Station,1,212949,82891
7634,3,3796150,Route 1- Coronet Way,0,213034,82742
7634,3,3794846,Route 1- Five Points Station,1,213034,82891
7634,3,3788347,Route 1- Five Points Station,1,212949,82891
7634,3,3788346,Route 1- Five Points Station,1,213034,82891
7634,3,3793630,Route 1- Coronet Way,0,212949,82742
7634,3,3794853,Route 1- Coronet Way,0,213034,82742
7634,3,3793631,Route 1- Coronet Way,0,212949,82742
7634,4,3800139,Route 1- Coronet Way,0,213471,82742
7634,4,3792389,Route 1- Coronet Way,0,213381,82742
7634,4,3788612,Route 1- Five Points Station,1,213471,82891
7634,4,3804464,Route 1- Five Points Station,1,213471,82891
7634,4,3796148,Route 1- Coronet Way,0,213381,82742
7634,4,3800158,Route 1- Coronet Way,0,213381,82742
7634,4,3802495,Route 1- Five Points Station,1,213471,82891
7634,4,3800558,Route 1- Five Points Station,1,213381,82891
7634,4,3793626,Route 1- Five Points Station,1,213471,82891
7634,4,3788968,Route 1- Five Points Station,1,213471,82891
7634,4,3798813,Route 1- Coronet Way,0,213381,82742
7634,4,3788970,Route 1- Coronet Way,0,213471,82742
7634,4,3788616,Route 1- Coronet Way,0,213471,82742
