stop_id,stop_code,stop_name,stop_lat,stop_lon
100082,100082,LUCILE AVE SW@DARGAN PL SW,33.742378,-84.425133
100084,100084,LUCILE AVE SW@HOPKINS ST SW,33.74237,-84.43048
100086,100086,LUCILE AVE SW@LANGHORN ST SW,33.742336,-84.432297
100088,100088,LUCILE AVE SW@HOPKINS ST SW,33.742174,-84.430404
100090,100090,LUCILE AVE SW@ATWOOD ST SW,33.742107,-84.429085
100092,100092,LUCILE AVE SW@HOLDERNESS ST SW,33.742058,-84.427368
100094,100094,LUCILE AVE SW@DARGAN PL SW,33.742073,-84.424644
101022,101022,FAIR ST SW@LAWSHE ST SW,33.749532,-84.410933
101024,101024,FAIR ST SW @ JAMES P BRAWLEY DR SW,33.749556,-84.412599
101026,101026,FAIR ST SW@MILTON ST SW,33.749457,-84.414271
101030,101030,PETERS ST SW@FAIR ST SW,33.748085,-84.401161
101031,101031,FAIR ST SW@PETERS ST SW,33.74805,-84.40144
101032,101032,FAIR ST SW@WALKER ST SW,33.748478,-84.402795
101036,101036,FAIR ST SW@WALNUT ST SW,33.74902,-84.406578
101038,101038,FAIR ST SW@VINE ST SW,33.749146,-84.407845
100062,100062,HOLDERNESS ST SW@WESTVIEW DR SW,33.747425,-84.426987
100063,100063,WESTVIEW DR SW@LANGHORN ST SW,33.747154,-84.427994
100064,100064,WESTVIEW DR SW@LANGHORN ST SW,33.747539,-84.427968
100065,100065,WESTVIEW DR SW@ATWOOD ST SW,33.747612,-84.428839
100066,100066,WESTVIEW DR SW@ATWOOD ST SW,33.747192,-84.429146
100067,100067,WESTVIEW DR SW@HOPKINS ST SW,33.747636,-84.430851
100068,100068,WESTVIEW DR SW@HOPKINS ST SW,33.747242,-84.431259
100069,100069,WESTVIEW DR SW@CHICAMAUGA AVE SW,33.747691,-84.431993
100070,100070,WESTVIEW DR SW@CHICAMAUGA AVE SW,33.74728,-84.432335
100071,100071,WESTVIEW DR SW@1403,33.747707,-84.433192
100072,100072,WESTVIEW DR@1403,33.747334,-84.433228
100074,100074,LUCILE AVE SW@ASHBY ST SW,33.742268,-84.418137
