9226,9226,N MAIN ST @ PINE GROVE DR,34.082476,-84.295051
10004,10004,WINDWARD PKY W@DEERFIELD PKWY,34.087866,-84.269172
10006,10006,WINDWARD PKY W@5532,34.087337,-84.265132
10008,10008,WINDWARD PKY@NORTH POINT PKY,34.08886,-84.2579
10010,10010,WINDWARD PKY@NORTH POINT PKY,34.088603,-84.25710699999999
10040,10040,MARTIN LUTHER KING J DR SW@OLLIE ST,33.754809,-84.42118599999999
10044,10044,NORTH POINT PKY@900,34.08083,-84.25948
10046,10046,NORTH POINT PKY@960,34.078413,-84.260238
10048,10048,NORTH POINT PKY@300,34.08645,-84.25686999999999
10054,10054,NORTH POINT PKY @ 960,34.078162999999996,-84.260696
10056,10056,NORTH POINT PKY @ WEBB BRIDGE RD,34.076401,-84.260458
10134,10134,FAIR ST SW@NORTHSIDE DR SW,33.748929,-84.40493599999999
10136,10136,WINDWARD PKY @ DEERFIELD PKY,34.088128,-84.27010299999999
10142,10142,DEERFIELD PKY @ MORRIS RD,34.090756999999996,-84.269956
10146,10146,WINDWARD PKY@5230,34.092278,-84.276484
10148,10148,MAIN ST@WINDWARD PKY W,34.093848,-84.27914
10150,10150,N MAIN ST @ COGBURN RD,34.092248,-84.284312
10168,10168,N MAIN ST @ 684,34.091726,-84.290431
10170,10170,MAIN ST@684,34.091495,-84.29051199999999
10172,10172,DEERFIELD PKY @ MORRIS RD,34.089932999999995,-84.269247
10174,10174,DEERFIELD PKY @ TWO VERIZON PL,34.093209,-84.270926
10176,10176,DEERFIELD PKY@WEBB RD,34.095453,-84.268096
10186,10186,N MAIN ST@WINDWARD PKY W,34.093962999999995,-84.27953099999999
10188,10188,OLD MILTON PKY @ BRIDGE POINTE DR,34.06256,-84.24746999999999
10190,10190,OLD MILTON PKY @ CAMDEN WAY,34.06334,-84.249521
10212,10212,MAIN ST@COGBURN RD,34.092039,-84.285415
10214,10214,N MAIN ST @ CANTON ST,34.088795,-84.29523999999999
10216,10216,MAIN ST@CANTON ST,34.08842,-84.29487
10218,10218,OLD MILTON PKY @ BROOKSIDE PKY,34.064693999999996,-84.253908
10220,10220,BROOKSIDE PKY @ 3705,34.062349999999995,-84.2544
10222,10222,BROOKSIDE PKY @ 3775,34.0613,-84.25215
10232,10232,OLD MILTON PKY @ ROCKBERRY LN,34.061439,-84.24441499999999
10234,10234,OLD MILTON PKY @ COTTON CREEK ENTRY,34.064854,-84.253526
10238,10238,OLD MILTON PKY @ 3502,34.066705,-84.258072
10244,10244,NORTH POINT PKY@500,34.08513,-84.25731999999999
10248,10248,WINDWARD PKY@WESTSIDE DR,34.087517,-84.269008
10250,10250,MORRIS RD@WEBB RD,34.096603,-84.26047799999999
10252,10252,MORRIS RD@13010,34.094303,-84.262563
10254,10254,OLD MILTON PKY @ PARK BRIDGE PKY,34.060883,-84.24249499999999
10256,10256,WINDWARD PKY W@MAIN ST,34.091775999999996,-84.276628
10258,10258,WINDWARD PKY W@MAIN ST,34.09318,-84.277912
10266,10266,WINDWARD PARK & RIDE,34.085741999999996,-84.260745
10268,10268,NORTH POINT PK@190,34.087806,-84.256813
10270,10270,MORRIS RD @ 12395,34.081,-84.261262
10272,10272,WINDWARD PKY@5555,34.087019999999995,-84.26505
10274,10274,DEERFIELD PKY@WEBB RD,34.097921,-84.264316
10276,10276,MORRIS RD@12726,34.09106,-84.26678199999999
14002,14002,ALPHARETTA HWY @ HOUZE WAY,34.046329,-84.339584
14004,14004,ALPHARETTA HWY@SUN VALLEY DR,34.049772,-84.337806
14009,14009,ALPHARETTA HWY @ ELKINS RD,34.051866,-84.334413
14010,14010,ALPHARETTA HWY@MANSELL PL,34.054226,-84.330254
14012,14012,ALPHARETTA HWY@11251,34.055115,-84.329132
14014,14014,ALPHARETTA HWY@ROSEMONT PKY,34.058437999999995,-84.326409
14018,14018,ALPHARETTA HWY@HEMBREE RD,34.060832,-84.324602
14020,14020,ALPHARETTA HWY@HOSPITAL BLVD,34.062747,-84.322976
14022,14022,ALPHARETTA HWY@NORTHMEADOW PKWY,34.065852,-84.31873
14024,14024,ALPHARETTA HWY@HANEY DR,34.066263,-84.316296
14026,14026,ALPHARETTA HWY@WILLS RD,34.066277,-84.313118
14028,14028,ALPHARETTA HWY@HANEY DR,34.066383,-84.316063
14030,14030,ALPHARETTA HWY@UPPER HEMBREE RD,34.065864999999995,-84.319
14032,14032,ALPHARETTA HWY@HOSPITAL BLVD,34.063289999999995,-84.322723
14034,14034,ALPHARETTA HWY@HEMBREE RD,34.061096,-84.32455399999999
14038,14038,ALPHARETTA HWY@11450,34.057182,-84.327896
14040,14040,ALPHARETTA HWY@11442,34.055408,-84.329323
14042,14042,ALPHARETTA HWY@MANSELL PL,34.053847999999995,-84.331345
14046,14046,ALPHARETTA HWY@SUN VALLEY DR,34.049427,-84.338387
14048,14048,MAIN ST@571,34.066226,-84.309834
15005,15005,NORCROSS ST @ MARIETTA ST,34.072458,-84.294525
15007,15007,MAIN ST@BRADY PL,34.066297,-84.30471899999999
15008,15008,MAIN ST@MAXWELL RD,34.067867,-84.301102
15010,15010,MAIN ST@MARIETTA ST,34.07295,-84.2951
15011,15011,N MAIN ST @ CUMMING ST,34.07832,-84.294505
15012,15012,MAIN ST@MARIETTA ST,34.072773,-84.295457
15014,15014,MAIN ST@JANIS LN,34.06975,-84.29807799999999
15015,15015,MAIN ST@DEVORE RD,34.068739,-84.29954099999999
15018,15018,NORTH POINT PKY@6360,34.046681,-84.290142
15020,15020,NORTH POINT PKY@6250,34.046985,-84.290381
15022,15022,MAIN ST@MAXWELL RD,34.067871,-84.301473
15026,15026,MAIN ST@JANIS LN,34.069839,-84.29787
15028,15028,HAYNES BRIDGE RD@11785,34.056886,-84.286369
15030,15030,HAYNES BRIDGE RD@RAINWATER DR,34.063717,-84.291553
15032,15032,HAYNES BRIDGE RD@DEVORE RD,34.066409,-84.292587
15036,15036,HAYNES BRIDGE RD@11770,34.068881999999995,-84.293925
15037,15037,HAYNES BRIDGE RD@DEVORE RD,34.066797,-84.29365899999999
15040,15040,HAYNES BRIDGE RD@WOODHAVEN,34.06391,-84.29222399999999
15042,15042,HAYNES BRIDGE RD@MORRISON PKY,34.060412,-84.28947199999999
15044,15044,ALPHARETTA HWY@ROSEMONT PKY,34.058564,-84.326815
